"GEO_ID","NAME","B06011_001E","B06011_001M","B06011_002E","B06011_002M","B06011_003E","B06011_003M","B06011_004E","B06011_004M","B06011_005E","B06011_005M",
"Geography","Geographic Area Name","Estimate!!Median income in the past 12 months --!!Total:","Margin of Error!!Median income in the past 12 months --!!Total:","Estimate!!Median income in the past 12 months --!!Total:!!Born in state of residence","Margin of Error!!Median income in the past 12 months --!!Total:!!Born in state of residence","Estimate!!Median income in the past 12 months --!!Total:!!Born in other state of the United States","Margin of Error!!Median income in the past 12 months --!!Total:!!Born in other state of the United States","Estimate!!Median income in the past 12 months --!!Total:!!Native; born outside the United States","Margin of Error!!Median income in the past 12 months --!!Total:!!Native; born outside the United States","Estimate!!Median income in the past 12 months --!!Total:!!Foreign born","Margin of Error!!Median income in the past 12 months --!!Total:!!Foreign born",
"1600000US2535075","Leominster city, Massachusetts","47415","2531","47564","2847","64292","8051","22703","13512","40367","4329",
"1600000US2535250","Lexington CDP, Massachusetts","104222","4051","61008","10915","118508","13263","75455","25064","130882","14926",
"1600000US2536020","Littleton Common CDP, Massachusetts","67135","32836","47726","13345","98558","42261","-","**","106979","36191",
"1600000US2536335","Longmeadow CDP, Massachusetts","70265","7959","69097","10365","64104","15069","139474","64316","87713","34132",
"1600000US2537000","Lowell city, Massachusetts","38969","1641","38175","2832","46846","6454","29484","7168","39437","2009",
"1600000US2537385","Lunenburg CDP, Massachusetts","58125","23407","57652","24996","84222","11827","-","**","16481","12034",
"1600000US2537490","Lynn city, Massachusetts","37933","1702","40001","2539","48225","5285","17038","6558","36049","2143",
"1600000US2537595","Lynnfield CDP, Massachusetts","78488","8573","65924","11237","99837","23907","-","**","118393","56693",
"1600000US2537735","Madaket CDP, Massachusetts","53571","20785","60515","10194","-","**","-","**","36167","2903",
"1600000US2537875","Malden city, Massachusetts","49658","2900","53187","5573","73960","7232","28966","16562","41735","3142",
"1600000US2538230","Mansfield Center CDP, Massachusetts","61485","6790","61438","11742","63848","5687","-","**","50263","32373",
"1600000US2538435","Marblehead CDP, Massachusetts","79184","6834","72785","10779","83015","8050","-","**","98600","10580",
"1600000US2538575","Marion Center CDP, Massachusetts","50223","40234","46673","22582","76721","9180","-","**","2,500-","***",
"1600000US2538715","Marlborough city, Massachusetts","44406","3048","47986","4560","63313","7092","29640","18134","35996","1660",
"1600000US2538820","Marshfield CDP, Massachusetts","58015","13645","59353","15215","40870","36344","-","**","-","**",
