"GEO_ID","NAME","B05010_001E","B05010_001M","B05010_002E","B05010_002M","B05010_003E","B05010_003M","B05010_004E","B05010_004M","B05010_005E","B05010_005M","B05010_006E","B05010_006M","B05010_007E","B05010_007M","B05010_008E","B05010_008M","B05010_009E","B05010_009M","B05010_010E","B05010_010M","B05010_011E","B05010_011M","B05010_012E","B05010_012M","B05010_013E","B05010_013M","B05010_014E","B05010_014M","B05010_015E","B05010_015M","B05010_016E","B05010_016M","B05010_017E","B05010_017M","B05010_018E","B05010_018M","B05010_019E","B05010_019M","B05010_020E","B05010_020M","B05010_021E","B05010_021M","B05010_022E","B05010_022M","B05010_023E","B05010_023M","B05010_024E","B05010_024M","B05010_025E","B05010_025M",
"1600000US2562465","Somerset CDP, Massachusetts","3206","299","118","78","64","50","27","40","0","21","37","57","54","58","54","58","0","21","126","110","88","101","88","101","0","21","0","21","38","42","38","42","0","21","2962","320","2375","314","2004","302","114","118","257","181","587","190","587","190","0","21",
"1600000US2562535","Somerville city, Massachusetts","7666","687","517","265","156","139","32","39","124","131","0","32","361","239","167","121","194","197","1105","414","797","418","273","318","499","281","25","38","308","146","142","107","166","113","6044","547","5094","549","2858","433","1041","307","1195","326","950","283","683","235","267","137",
"1600000US2562780","South Ashburnham CDP, Massachusetts","317","164","47","96","47","96","47","96","0","14","0","14","0","14","0","14","0","14","45","69","0","14","0","14","0","14","0","14","45","69","0","14","45","69","225","139","205","130","172","130","0","14","33","51","20","33","20","33","0","14",
"1600000US2563345","Southbridge Town city, Massachusetts","3573","462","747","331","0","21","0","21","0","21","0","21","747","331","747","331","0","21","891","402","165","105","151","104","0","21","14","18","726","379","702","378","24","27","1935","449","1256","389","1099","392","137","145","20","33","679","328","679","328","0","21",
"1600000US2563620","South Deerfield CDP, Massachusetts","134","101","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","134","101","12","25","12","25","0","14","0","14","122","95","122","95","0","14",
"1600000US2563655","South Dennis CDP, Massachusetts","299","111","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","25","36","25","36","25","36","0","14","0","14","0","14","0","14","0","14","274","117","216","115","216","115","0","14","0","14","58","44","55","44","3","6",
"1600000US2563690","South Duxbury CDP, Massachusetts","697","165","22","24","9","14","9","14","0","14","0","14","13","21","13","21","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","675","166","597","140","562","141","18","30","17","27","78","105","78","105","0","14",
"1600000US2564460","South Lancaster CDP, Massachusetts","664","347","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","78","124","78","124","0","14","78","124","0","14","0","14","0","14","0","14","586","335","418","280","356","278","0","14","62","81","168","205","168","205","0","14",
"1600000US2566035","South Yarmouth CDP, Massachusetts","1469","267","234","150","85","117","0","21","85","117","0","21","149","108","149","108","0","21","88","108","0","21","0","21","0","21","0","21","88","108","88","108","0","21","1147","261","797","259","147","182","575","248","75","84","350","203","338","203","12","22",
"1600000US2566070","Spencer CDP, Massachusetts","635","342","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","252","255","0","19","0","19","0","19","0","19","252","255","222","253","30","47","383","272","215","239","215","239","0","19","0","19","168","191","168","191","0","19",
"1600000US2567000","Springfield city, Massachusetts","35566","1019","12778","1384","2576","980","1448","532","1099","878","29","42","10202","1284","9394","1188","808","483","7277","978","2245","704","1220","498","786","409","239","183","5032","870","4201","858","831","407","15511","1367","7000","984","4980","936","1537","434","483","305","8511","1063","7274","1013","1237","522",
"1600000US2567700","Stoneham CDP, Massachusetts","4666","521","171","142","90","122","0","25","90","122","0","25","81","73","81","73","0","25","204","129","60","57","17","27","21","36","22","36","144","117","110","111","34","41","4291","553","3704","575","2716","627","562","293","426","214","587","302","562","286","25","35",
"1600000US2568120","Sturbridge CDP, Massachusetts","456","97","18","38","0","14","0","14","0","14","0","14","18","38","18","38","0","14","37","56","37","56","37","56","0","14","0","14","0","14","0","14","0","14","401","113","349","100","349","100","0","14","0","14","52","59","52","59","0","14",
"1600000US2568680","Swampscott CDP, Massachusetts","2998","329","162","196","126","193","0","21","126","193","0","21","36","33","16","26","20","34","146","117","113","116","23","22","90","112","0","21","33","50","7","12","26","49","2690","318","2455","315","1583","239","350","219","522","220","235","127","142","82","93","92",
"1600000US2569170","Taunton city, Massachusetts","12405","768","2567","634","228","177","41","51","134","160","53","58","2339","638","2040","642","299","214","2070","502","641","344","290","249","210","165","141","152","1429","376","1235","355","194","98","7768","684","5171","667","3539","631","1006","362","626","308","2597","553","2241","523","356","226",
"1600000US2569205","Teaticket CDP, Massachusetts","218","123","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","71","63","30","28","13","25","17","27","0","14","41","58","41","58","0","14","147","106","132","102","29","39","103","99","0","14","15","30","15","30","0","14",
"1600000US2569585","The Pinehills CDP, Massachusetts","269","193","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","269","193","241","186","241","186","0","19","0","19","28","45","28","45","0","19",
