"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"1600000US2528460","Hanson CDP, Massachusetts","686","102","686","102","0","14",
"1600000US2529055","Harwich Center CDP, Massachusetts","891","194","603","176","288","117",
"1600000US2529090","Harwich Port CDP, Massachusetts","1160","242","877","189","283","108",
"1600000US2529230","Hatfield CDP, Massachusetts","637","121","541","112","96","61",
"1600000US2529405","Haverhill city, Massachusetts","26545","667","16666","668","9879","610",
"1600000US2530175","Hingham CDP, Massachusetts","1962","251","1516","243","446","107",
"1600000US2530420","Holbrook CDP, Massachusetts","4384","337","3681","324","703","243",
"1600000US2530630","Holland CDP, Massachusetts","675","112","655","109","20","16",
"1600000US2530840","Holyoke city, Massachusetts","15618","489","6446","412","9172","474",
"1600000US2530980","Hopedale CDP, Massachusetts","1585","219","1182","147","403","184",
"1600000US2531050","Hopkinton CDP, Massachusetts","1158","303","941","323","217","75",
"1600000US2531295","Housatonic CDP, Massachusetts","525","105","366","106","159","81",
"1600000US2531575","Hudson CDP, Massachusetts","6910","352","4699","404","2211","366",
"1600000US2531680","Hull CDP, Massachusetts","4709","276","3749","254","960","187",
"1600000US2531750","Huntington CDP, Massachusetts","322","74","216","60","106","50",
"1600000US2532275","Ipswich CDP, Massachusetts","2126","209","1320","192","806","178",
"1600000US2533185","Kingston CDP, Massachusetts","2431","322","2032","311","399","154",
"1600000US2534550","Lawrence city, Massachusetts","31142","786","8738","803","22404","944",
"1600000US2534620","Lee CDP, Massachusetts","826","181","507","160","319","136",
"1600000US2534935","Lenox CDP, Massachusetts","1097","250","669","192","428","172",
"1600000US2535040","Lenox Dale CDP, Massachusetts","0","14","0","14","0","14",
"1600000US2535075","Leominster city, Massachusetts","18483","672","11512","672","6971","656",
"1600000US2535250","Lexington CDP, Massachusetts","12477","331","10042","401","2435","299",
"1600000US2536020","Littleton Common CDP, Massachusetts","1281","182","1078","184","203","111",
"1600000US2536335","Longmeadow CDP, Massachusetts","5626","264","5069","282","557","153",
"1600000US2537000","Lowell city, Massachusetts","43183","905","18669","1018","24514","1000",
"1600000US2537385","Lunenburg CDP, Massachusetts","780","177","746","178","34","33",
"1600000US2537490","Lynn city, Massachusetts","36414","921","17522","843","18892","938",
"1600000US2537595","Lynnfield CDP, Massachusetts","4502","195","3932","183","570","171",
"1600000US2537735","Madaket CDP, Massachusetts","156","55","130","45","26","37",
"1600000US2537875","Malden city, Massachusetts","26042","681","10744","678","15298","771",
"1600000US2538230","Mansfield Center CDP, Massachusetts","3213","317","2020","326","1193","244",
"1600000US2538435","Marblehead CDP, Massachusetts","8289","274","7061","275","1228","249",
"1600000US2538575","Marion Center CDP, Massachusetts","486","174","457","170","29","47",
"1600000US2538715","Marlborough city, Massachusetts","16665","650","9336","632","7329","673",
"1600000US2538820","Marshfield CDP, Massachusetts","1974","246","1386","222","588","178",
"1600000US2538960","Marshfield Hills CDP, Massachusetts","826","177","775","191","51","78",
"1600000US2539152","Mashpee Neck CDP, Massachusetts","401","129","401","129","0","14",
"1600000US2539485","Mattapoisett Center CDP, Massachusetts","1276","291","950","282","326","157",
"1600000US2539660","Maynard CDP, Massachusetts","4821","286","3616","241","1205","272",
"1600000US2539730","Medfield CDP, Massachusetts","2627","302","2183","293","444","158",
"1600000US2539835","Medford city, Massachusetts","24339","636","13159","755","11180","590",
"1600000US2540115","Melrose city, Massachusetts","12401","488","8328","436","4073","455",
"1600000US2540675","Methuen city, Massachusetts","18691","534","13522","633","5169","447",
"1600000US2540885","Middleborough Center CDP, Massachusetts","3404","359","1798","310","1606","267",
"1600000US2541200","Milford CDP, Massachusetts","10161","434","6325","454","3836","400",
"1600000US2541410","Millers Falls CDP, Massachusetts","501","115","385","106","116","51",
"1600000US2541532","Millis-Clicquot CDP, Massachusetts","1662","230","1259","214","403","119",
"1600000US2541725","Milton CDP, Massachusetts","9094","330","7746","405","1348","337",
"1600000US2541960","Monomoscoy Island CDP, Massachusetts","57","33","51","32","6","9",
"1600000US2542180","Monson Center CDP, Massachusetts","747","162","413","103","334","121",
"1600000US2542670","Monument Beach CDP, Massachusetts","1492","280","1140","238","352","193",
"1600000US2543615","Nahant CDP, Massachusetts","1589","151","1253","191","336","100",
"1600000US2543755","Nantucket CDP, Massachusetts","3500","401","2827","359","673","238",
"1600000US2544140","Needham CDP, Massachusetts","11586","312","9632","325","1954","254",
"1600000US2545000","New Bedford city, Massachusetts","42271","859","17040","754","25231","853",
"1600000US2545245","Newburyport city, Massachusetts","8107","449","6279","368","1828","361",
"1600000US2545500","New Seabury CDP, Massachusetts","406","98","357","90","49","37",
"1600000US2545560","Newton city, Massachusetts","32194","590","22532","584","9662","613",
"1600000US2546225","North Adams city, Massachusetts","5948","313","3035","356","2913","363",
"1600000US2546330","Northampton city, Massachusetts","13467","356","7711","397","5756","391",
"1600000US2546598","North Attleborough Town city, Massachusetts","12984","459","9359","482","3625","524",
"1600000US2546785","Northborough CDP, Massachusetts","2548","254","2118","257","430","107",
"1600000US2547100","North Brookfield CDP, Massachusetts","1057","190","553","145","504","204",
"1600000US2547590","North Eastham CDP, Massachusetts","1062","201","966","212","96","76",
"1600000US2547730","North Falmouth CDP, Massachusetts","1189","182","1020","168","169","105",
"1600000US2547800","Northfield CDP, Massachusetts","558","141","425","110","133","77",
"1600000US2548220","North Lakeville CDP, Massachusetts","1361","160","893","142","468","113",
"1600000US2548710","North Pembroke CDP, Massachusetts","1447","447","1134","449","313","143",
"1600000US2548780","North Plymouth CDP, Massachusetts","2121","290","860","202","1261","326",
"1600000US2549165","North Scituate CDP, Massachusetts","2239","191","1991","201","248","89",
"1600000US2549200","North Seekonk CDP, Massachusetts","1185","229","1078","225","107","75",
"1600000US2549700","Northwest Harwich CDP, Massachusetts","1673","191","1498","209","175","94",
"1600000US2549710","North Westport CDP, Massachusetts","1991","291","1584","312","407","226",
"1600000US2550005","Norton Center CDP, Massachusetts","364","88","319","77","45","53",
"1600000US2550285","Norwood CDP, Massachusetts","13259","389","7155","418","6104","484",
"1600000US2550425","Oak Bluffs CDP, Massachusetts","684","316","409","259","275","223",
"1600000US2550862","Ocean Bluff-Brant Rock CDP, Massachusetts","2094","270","1721","256","373","137",
"1600000US2550880","Ocean Grove CDP, Massachusetts","1290","183","1136","198","154","108",
"1600000US2551160","Onset CDP, Massachusetts","607","279","541","244","66","107",
"1600000US2551230","Orange CDP, Massachusetts","1396","166","928","127","468","155",
"1600000US2551405","Orleans CDP, Massachusetts","822","171","551","125","271","128",
"1600000US2551790","Oxford CDP, Massachusetts","2146","212","1786","192","360","120",
"1600000US2552144","Palmer Town city, Massachusetts","5496","357","3929","357","1567","317",
"1600000US2552490","Peabody city, Massachusetts","22390","595","14688","729","7702","648",
"1600000US2552770","Pepperell CDP, Massachusetts","937","184","461","100","476","171",
"1600000US2553085","Petersham CDP, Massachusetts","137","32","126","32","11","9",
"1600000US2553680","Pinehurst CDP, Massachusetts","2312","153","2251","151","61","40",
"1600000US2553960","Pittsfield city, Massachusetts","19510","474","12260","578","7250","559",
"1600000US2554275","Plymouth CDP, Massachusetts","4001","411","1841","381","2160","343",
"1600000US2554450","Pocasset CDP, Massachusetts","1110","253","828","252","282","181",
"1600000US2555070","Popponesset CDP, Massachusetts","312","139","256","126","56","88",
"1600000US2555090","Popponesset Island CDP, Massachusetts","22","18","22","18","0","14",
"1600000US2555535","Provincetown CDP, Massachusetts","1926","132","1458","203","468","186",
"1600000US2555745","Quincy city, Massachusetts","45285","929","20491","941","24794","1054",
"1600000US2556000","Randolph Town city, Massachusetts","12747","526","9084","632","3663","529",
"1600000US2556095","Raynham Center CDP, Massachusetts","1765","251","1244","189","521","215",
"1600000US2556165","Reading CDP, Massachusetts","9740","400","8028","424","1712","240",
"1600000US2556585","Revere city, Massachusetts","22178","834","10103","741","12075","865",
"1600000US2557845","Rockport CDP, Massachusetts","2295","237","1521","205","774","183",
"1600000US2558370","Rowley CDP, Massachusetts","701","149","551","144","150","75",
"1600000US2558615","Russell CDP, Massachusetts","243","75","210","68","33","31",
"1600000US2558790","Rutland CDP, Massachusetts","821","160","677","125","144","94",
"1600000US2558965","Sagamore CDP, Massachusetts","1633","246","1372","202","261","146",
"1600000US2559105","Salem city, Massachusetts","20267","583","10073","654","10194","769",
"1600000US2559210","Salisbury CDP, Massachusetts","2870","285","1881","251","989","216",
"1600000US2559700","Sandwich CDP, Massachusetts","1457","216","1123","159","334","166",
"1600000US2560050","Saugus CDP, Massachusetts","10958","365","7836","440","3122","430",
"1600000US2560295","Scituate CDP, Massachusetts","2483","272","2060","270","423","184",
"1600000US2560505","Seabrook CDP, Massachusetts","247","59","236","59","11","17",
"1600000US2560627","Seconsett Island CDP, Massachusetts","71","43","59","41","12","20",
"1600000US2560820","Sharon CDP, Massachusetts","2110","218","1809","233","301","115",
"1600000US2561205","Shelburne Falls CDP, Massachusetts","813","91","486","63","327","84",
"1600000US2561555","Shirley CDP, Massachusetts","503","206","318","153","185","124",
"1600000US2561940","Siasconset CDP, Massachusetts","109","64","102","62","7","10",
"1600000US2562300","Smith Mills CDP, Massachusetts","2019","239","1434","225","585","198",
"1600000US2562465","Somerset CDP, Massachusetts","7447","284","6475","315","972","233",
"1600000US2562535","Somerville city, Massachusetts","35715","869","12232","701","23483","869",
"1600000US2562780","South Ashburnham CDP, Massachusetts","498","152","457","147","41","56",
"1600000US2563345","Southbridge Town city, Massachusetts","7260","322","3098","290","4162","325",
"1600000US2563620","South Deerfield CDP, Massachusetts","1054","262","713","232","341","124",
"1600000US2563655","South Dennis CDP, Massachusetts","1597","233","1321","213","276","138",
"1600000US2563690","South Duxbury CDP, Massachusetts","1228","142","1181","143","47","32",
"1600000US2564460","South Lancaster CDP, Massachusetts","821","236","610","188","211","156",
"1600000US2566035","South Yarmouth CDP, Massachusetts","5394","407","4324","394","1070","282",
"1600000US2566070","Spencer CDP, Massachusetts","2791","376","1121","221","1670","343",
"1600000US2567000","Springfield city, Massachusetts","57772","894","28679","1029","29093","1103",
"1600000US2567700","Stoneham CDP, Massachusetts","9749","368","6923","482","2826","429",
"1600000US2568120","Sturbridge CDP, Massachusetts","986","182","821","183","165","77",
"1600000US2568680","Swampscott CDP, Massachusetts","6155","252","4669","285","1486","272",
"1600000US2569170","Taunton city, Massachusetts","24063","587","14945","626","9118","692",
"1600000US2569205","Teaticket CDP, Massachusetts","933","172","878","166","55","51",
"1600000US2569585","The Pinehills CDP, Massachusetts","2815","270","2475","281","340","101",
"1600000US2570115","Topsfield CDP, Massachusetts","957","160","785","153","172","82",
"1600000US2570325","Townsend CDP, Massachusetts","402","111","213","70","189","82",
"1600000US2570815","Turners Falls CDP, Massachusetts","2031","229","1132","187","899","179",
"1600000US2571445","Upton CDP, Massachusetts","1218","183","847","170","371","150",
"1600000US2571970","Vineyard Haven CDP, Massachusetts","1017","293","811","236","206","157",
"1600000US2572250","Wakefield CDP, Massachusetts","11270","354","7968","476","3302","441",
"1600000US2572460","Walpole CDP, Massachusetts","2689","250","2192","252","497","156",
"1600000US2572600","Waltham city, Massachusetts","25498","608","12670","680","12828","741",
"1600000US2572845","Ware CDP, Massachusetts","2778","302","1594","251","1184","276",
"1600000US2573020","Wareham Center CDP, Massachusetts","1690","284","1217","317","473","187",
"1600000US2573055","Warren CDP, Massachusetts","578","234","261","132","317","207",
"1600000US2573405","Watertown city, Massachusetts","16371","500","7814","564","8557","664",
"1600000US2573930","Webster CDP, Massachusetts","5196","251","2363","292","2833","279",
"1600000US2574210","Wellesley CDP, Massachusetts","9174","300","7742","282","1432","188",
"1600000US2575050","Westborough CDP, Massachusetts","1958","204","1039","214","919","129",
"1600000US2575365","West Brookfield CDP, Massachusetts","627","162","383","135","244","88",
"1600000US2575505","West Chatham CDP, Massachusetts","574","184","481","165","93","77",
"1600000US2575680","West Concord CDP, Massachusetts","2340","250","1460","210","880","235",
"1600000US2575820","West Dennis CDP, Massachusetts","1240","201","935","186","305","97",
"1600000US2575960","West Falmouth CDP, Massachusetts","768","169","664","165","104","95",
"1600000US2576030","Westfield city, Massachusetts","15822","584","10859","574","4963","550",
"1600000US2577890","West Springfield Town city, Massachusetts","12732","511","7447","595","5285","558",
"1600000US2578410","West Wareham CDP, Massachusetts","1016","310","799","259","217","155",
"1600000US2578445","West Warren CDP, Massachusetts","352","228","126","105","226","202",
"1600000US2578795","West Yarmouth CDP, Massachusetts","3087","372","2362","359","725","192",
"1600000US2578850","Weweantic CDP, Massachusetts","701","196","622","188","79","104",
"1600000US2578972","Weymouth Town city, Massachusetts","25759","550","17371","539","8388","608",
"1600000US2579390","White Island Shores CDP, Massachusetts","672","192","656","189","16","25",
"1600000US2579495","Whitinsville CDP, Massachusetts","2906","316","1724","266","1182","332",
"1600000US2579705","Wilbraham CDP, Massachusetts","1409","276","1216","270","193","113",
"1600000US2579950","Williamstown CDP, Massachusetts","1534","189","944","188","590","174",
"1600000US2580195","Wilmington CDP, Massachusetts","7926","371","6979","350","947","260",
"1600000US2580370","Winchendon CDP, Massachusetts","1633","183","935","156","698","171",
"1600000US2580545","Winchester CDP, Massachusetts","8340","312","6811","322","1529","263",
"1600000US2581005","Winthrop Town city, Massachusetts","7899","429","4498","338","3401","464",
"1600000US2581035","Woburn city, Massachusetts","16432","559","9146","504","7286","529",
"1600000US2581245","Woods Hole CDP, Massachusetts","534","170","390","136","144","106",
"1600000US2582000","Worcester city, Massachusetts","79501","1153","33988","1147","45513","1241",
"1600000US2582595","Yarmouth Port CDP, Massachusetts","2830","280","2591","255","239","135",
